os,cpu,gpu,ram,kernel,driver,cpuscheduler
Omarchy,AMD Ryzen 9 5900X 12-Core Processor,NVIDIA GeForce RTX 3070,40963824,7.2.5-3-omarchy,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
98.9689,10.1042,16.2717,0,99,66,63,1890,6801,4.80865,221,13.3716,0,0,4700,258744596782
87.4146,11.4397,16.2717,0,99,66,63,1890,6801,4.80865,221,13.3716,0,0,4700,258844680966
100.451,9.95513,15.5679,0,99,66,63,1890,6801,4.80865,220,13.3698,0,0,4721,258944772381
104.482,9.57103,15.5679,0,99,66,63,1890,6801,4.80865,220,13.3698,0,0,4721,259044849835
102.319,9.77339,15.5679,0,99,66,63,1890,6801,4.80865,220,13.3698,0,0,4721,259144935200
111.55,8.96456,15.5679,0,99,66,63,1890,6801,4.80865,220,13.3698,0,0,4721,259245019694
104.838,9.53852,15.5679,0,99,66,63,1890,6801,4.80865,220,13.3698,0,0,4721,259345101869
105.098,9.51491,15.5679,0,99,66,63,1890,6801,4.80865,220,13.3698,0,0,4721,259445181413
94.9792,10.5286,15.2122,0,99,66,63,1890,6801,4.80865,220,13.367,0,0,4749,259545262288
92.1313,10.8541,15.2122,0,99,66,63,1890,6801,4.80865,220,13.367,0,0,4749,259645343682
103.553,9.65692,15.2122,0,99,66,63,1890,6801,4.80865,220,13.367,0,0,4749,259745425777
86.3125,11.5858,15.2122,0,99,66,63,1890,6801,4.80865,220,13.367,0,0,4749,259845511491
95.2601,10.4976,14.0127,0,99,66,63,1890,6801,4.80865,223,13.3686,0,0,4725,259945593026
94.3049,10.6039,14.0127,0,99,66,63,1890,6801,4.80865,223,13.3686,0,0,4725,260045677660
90.8507,11.0071,14.0127,0,99,66,63,1890,6801,4.80865,223,13.3686,0,0,4725,260145752255
91.3819,10.9431,14.0127,0,99,66,63,1890,6801,4.80865,223,13.3686,0,0,4725,260245834919
96.7466,10.3363,14.0127,0,99,66,63,1890,6801,4.80865,223,13.3686,0,0,4725,260345918184
114.427,8.7392,16.8521,0,99,66,63,1890,6801,4.80865,224,13.3792,0,0,4625,260446004318
119.202,8.38915,16.8521,0,99,66,63,1890,6801,4.80865,224,13.3792,0,0,4625,260546095883
88.8594,11.2537,16.8521,0,99,66,63,1890,6801,4.80865,224,13.3792,0,0,4625,260646179367
122.286,8.17756,16.8521,0,99,66,63,1890,6801,4.80865,224,13.3792,0,0,4625,260746262621
92.1264,10.8546,16.8521,0,99,66,63,1890,6801,4.80865,224,13.3792,0,0,4625,260846348966
93.0075,10.7518,15.0883,0,99,66,63,1890,6801,4.80865,224,13.3779,0,0,4692,260946431490
87.8423,11.384,15.0883,0,99,66,63,1890,6801,4.80865,224,13.3779,0,0,4692,261046515215
87.8539,11.3825,15.0883,0,99,66,63,1890,6801,4.80865,224,13.3779,0,0,4692,261146601819
98.1691,10.1865,15.0883,0,99,66,63,1890,6801,4.80865,224,13.3779,0,0,4692,261246688274
86.0371,11.6229,15.0883,0,99,66,63,1890,6801,4.80865,224,13.3779,0,0,4692,261346765318
91.6822,10.9072,15.0883,0,99,66,63,1890,6801,4.80865,224,13.3779,0,0,4692,261446854253
84.3833,11.8507,14.9137,0,99,66,63,1890,6801,4.80865,223,13.3805,0,0,4749,261546940807
88.7198,11.2714,14.9137,0,99,66,63,1890,6801,4.80865,223,13.3805,0,0,4749,261647027552
96.6474,10.3469,14.9137,0,99,66,63,1890,6801,4.80865,223,13.3805,0,0,4749,261747115226
88.9584,11.2412,14.9137,0,99,66,63,1890,6801,4.80865,223,13.3805,0,0,4749,261847217301
91.4336,10.9369,14.9137,0,99,66,63,1890,6801,4.80865,223,13.3805,0,0,4749,261947329505
95.0184,10.5243,15.3239,0,99,66,63,1890,6801,4.80865,222,13.383,0,0,4673,262047441780
98.9573,10.1054,15.3239,0,99,66,63,1890,6801,4.80865,222,13.383,0,0,4673,262147524414
92.0848,10.8596,15.3239,0,99,66,63,1890,6801,4.80865,222,13.383,0,0,4673,262247608369
93.7773,10.6636,15.3239,0,99,66,63,1890,6801,4.80865,222,13.383,0,0,4673,262347692453
94.2694,10.6079,15.3239,0,99,66,63,1890,6801,4.80865,222,13.383,0,0,4673,262447782268
95.7476,10.4441,14.4462,0,99,66,63,1890,6801,4.80865,222,13.3838,0,0,4725,262547898002
90.6413,11.0325,14.4462,0,99,66,63,1890,6801,4.80865,222,13.3838,0,0,4725,262647978887
96.3038,10.3838,14.4462,0,99,66,63,1890,6801,4.80865,222,13.3838,0,0,4725,262748061701
91.0221,10.9863,14.4462,0,99,66,63,1890,6801,4.80865,222,13.3838,0,0,4725,262848141916
98.0432,10.1996,14.4462,0,99,66,63,1890,6801,4.80865,222,13.3838,0,0,4725,262948221090
89.808,11.1349,14.6226,0,99,66,63,1890,6801,4.80865,222,13.3824,0,0,4725,263048306965
93.1399,10.7365,14.6226,0,99,66,63,1890,6801,4.80865,222,13.3824,0,0,4725,263148385129
99.1787,10.0828,14.6226,0,99,66,63,1890,6801,4.80865,222,13.3824,0,0,4725,263248467274
89.9022,11.1232,14.6226,0,99,66,63,1890,6801,4.80865,222,13.3824,0,0,4725,263348545568
86.7995,11.5208,14.6226,0,99,66,63,1890,6801,4.80865,222,13.3824,0,0,4725,263448629383
90.1514,11.0924,14.6226,0,99,66,63,1890,6801,4.80865,222,13.3824,0,0,4725,263548713537
92.8303,10.7723,14.9289,0,99,65,63,1890,6801,4.80865,222,13.3833,0,0,4724,263648792102
79.6397,12.5566,14.9289,0,99,65,63,1890,6801,4.80865,222,13.3833,0,0,4724,263748877596
93.9998,10.6383,14.9289,0,99,65,63,1890,6801,4.80865,222,13.3833,0,0,4724,263848960011
97.5465,10.2515,14.9289,0,99,65,63,1890,6801,4.80865,222,13.3833,0,0,4724,263949041745
103.135,9.69603,16.1859,0,99,65,63,1890,6801,4.80865,222,13.3847,0,0,4675,264049126160
116.683,8.57021,16.1859,0,99,65,63,1890,6801,4.80865,222,13.3847,0,0,4675,264149210944
103.575,9.65484,16.1859,0,99,65,63,1890,6801,4.80865,222,13.3847,0,0,4675,264249299559
118.392,8.44652,16.1859,0,99,65,63,1890,6801,4.80865,222,13.3847,0,0,4675,264349385273
99.0619,10.0947,16.1859,0,99,65,63,1890,6801,4.80865,222,13.3847,0,0,4675,264449469098
114.087,8.76527,17.4941,0,99,65,63,1890,6801,4.81178,222,13.397,0,0,4720,264549551502
97.1902,10.2891,17.4941,0,99,65,63,1890,6801,4.81178,222,13.397,0,0,4720,264649636687
103.062,9.70289,17.4941,0,99,65,63,1890,6801,4.81178,222,13.397,0,0,4720,264749724341
97.8809,10.2165,17.4941,0,99,65,63,1890,6801,4.81178,222,13.397,0,0,4720,264849807236
98.0342,10.2005,17.4941,0,99,65,63,1890,6801,4.81178,222,13.397,0,0,4720,264949890060
94.9618,10.5305,15.4517,0,99,65,63,1890,6801,4.8149,221,13.3988,0,0,4725,265049979375
95.3179,10.4912,15.4517,0,99,65,63,1890,6801,4.8149,221,13.3988,0,0,4725,265150058839
112.191,8.91335,15.4517,0,99,65,63,1890,6801,4.8149,221,13.3988,0,0,4725,265250147204
